ts,cash,equity,open_positions,exposure
2024-07-03 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-07-05 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-07-08 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-07-09 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-07-10 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-07-11 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-07-12 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-07-15 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-07-16 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-07-17 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-07-18 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-07-19 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-07-22 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-07-23 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-07-24 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-07-25 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-07-26 00:00:00+00:00,82461.46,123202.82,1,40741.36
2024-07-29 00:00:00+00:00,82461.46,123284.66,1,40823.2
2024-07-30 00:00:00+00:00,82461.46,122724.1,1,40262.64
2024-07-31 00:00:00+00:00,82461.46,123915.62,1,41454.16
2024-08-01 00:00:00+00:00,82461.46,122911.54,1,40450.08
2024-08-02 00:00:00+00:00,82461.46,121951.46,1,39490.0
2024-08-05 00:00:00+00:00,82461.46,120774.02,1,38312.56
2024-08-06 00:00:00+00:00,41422.57,121351.06,2,79928.49
2024-08-07 00:00:00+00:00,41422.57,120656.47,2,79233.9
2024-08-08 00:00:00+00:00,41422.57,122774.08,2,81351.51
2024-08-09 00:00:00+00:00,41422.57,123164.86,2,81742.29
2024-08-12 00:00:00+00:00,41422.57,123272.34,2,81849.77
2024-08-13 00:00:00+00:00,41422.57,124950.77,2,83528.2
2024-08-14 00:00:00+00:00,41422.57,125099.06,2,83676.49
2024-08-15 00:00:00+00:00,41422.57,126864.06,2,85441.49
2024-08-16 00:00:00+00:00,41422.57,127015.7,2,85593.13
2024-08-19 00:00:00+00:00,41422.57,127983.52,2,86560.95
2024-08-20 00:00:00+00:00,41422.57,127822.75,2,86400.18
2024-08-21 00:00:00+00:00,41422.57,128171.55,2,86748.98
2024-08-22 00:00:00+00:00,41422.57,127150.75,2,85728.18
2024-08-23 00:00:00+00:00,41422.57,128070.84,2,86648.27
2024-08-26 00:00:00+00:00,41422.57,127554.9,2,86132.33
2024-08-27 00:00:00+00:00,41422.57,127740.69,2,86318.12
2024-08-28 00:00:00+00:00,41422.57,127007.07,2,85584.5
2024-08-29 00:00:00+00:00,41422.57,126950.3,2,85527.73
2024-08-30 00:00:00+00:00,41422.57,127865.05,2,86442.48
2024-09-03 00:00:00+00:00,41422.57,125676.17,2,84253.6
2024-09-04 00:00:00+00:00,41422.57,125481.3,2,84058.73
2024-09-05 00:00:00+00:00,41422.57,125413.28,2,83990.71
2024-09-06 00:00:00+00:00,41422.57,123595.73,2,82173.16
2024-09-09 00:00:00+00:00,41422.57,124581.44,2,83158.87
2024-09-10 00:00:00+00:00,41422.57,125139.06,2,83716.49
2024-09-11 00:00:00+00:00,41422.57,126460.31,2,85037.74
2024-09-12 00:00:00+00:00,41422.57,127234.04,2,85811.47
2024-09-13 00:00:00+00:00,41422.57,127651.28,2,86228.71
2024-09-16 00:00:00+00:00,41422.57,127532.05,2,86109.48
2024-09-17 00:00:00+00:00,41422.57,127572.22,2,86149.65
2024-09-18 00:00:00+00:00,41422.57,127259.89,2,85837.32
2024-09-19 00:00:00+00:00,41422.57,129065.67,2,87643.1
2024-09-20 00:00:00+00:00,41422.57,128769.04,2,87346.47
2024-09-23 00:00:00+00:00,41422.57,128934.02,2,87511.45
2024-09-24 00:00:00+00:00,41422.57,129267.83,2,87845.26
2024-09-25 00:00:00+00:00,41422.57,129207.89,2,87785.32
2024-09-26 00:00:00+00:00,41422.57,129707.63,2,88285.06
2024-09-27 00:00:00+00:00,41422.57,129402.7,2,87980.13
2024-09-30 00:00:00+00:00,41422.57,129699.77,2,88277.2
2024-10-01 00:00:00+00:00,41422.57,128695.31,2,87272.74
2024-10-02 00:00:00+00:00,41422.57,128774.11,2,87351.54
2024-10-03 00:00:00+00:00,41422.57,128660.27,2,87237.7
2024-10-04 00:00:00+00:00,41422.57,129572.15,2,88149.58
2024-10-07 00:00:00+00:00,41422.57,128703.57,2,87281.0
2024-10-08 00:00:00+00:00,41422.57,129761.4,2,88338.83
2024-10-09 00:00:00+00:00,41422.57,130413.83,2,88991.26
2024-10-10 00:00:00+00:00,41422.57,130284.76,2,88862.19
2024-10-11 00:00:00+00:00,41422.57,130625.07,2,89202.5
2024-10-14 00:00:00+00:00,41422.57,131363.85,2,89941.28
2024-10-15 00:00:00+00:00,41422.57,130419.99,2,88997.42
2024-10-16 00:00:00+00:00,41422.57,130624.35,2,89201.78
2024-10-17 00:00:00+00:00,41422.57,130658.22,2,89235.65
2024-10-18 00:00:00+00:00,41422.57,131118.54,2,89695.97
2024-10-21 00:00:00+00:00,41422.57,131126.3,2,89703.73
2024-10-22 00:00:00+00:00,41422.57,131149.33,2,89726.76
2024-10-23 00:00:00+00:00,41422.57,130059.46,2,88636.89
2024-10-24 00:00:00+00:00,41422.57,130506.69,2,89084.12
2024-10-25 00:00:00+00:00,41422.57,130754.89,2,89332.32
2024-10-28 00:00:00+00:00,41422.57,130903.34,2,89480.77
2024-10-29 00:00:00+00:00,41422.57,131396.48,2,89973.91
2024-10-30 00:00:00+00:00,41422.57,130924.8,2,89502.23
2024-10-31 00:00:00+00:00,41422.57,128923.93,2,87501.36
2024-11-01 00:00:00+00:00,41422.57,129428.57,2,88006.0
2024-11-04 00:00:00+00:00,41422.57,129206.44,2,87783.87
2024-11-05 00:00:00+00:00,41422.57,130296.35,2,88873.78
2024-11-06 00:00:00+00:00,41422.57,132605.77,2,91183.2
2024-11-07 00:00:00+00:00,41422.57,133667.28,2,92244.71
2024-11-08 00:00:00+00:00,41422.57,133923.9,2,92501.33
2024-11-11 00:00:00+00:00,41422.57,133942.53,2,92519.96
2024-11-12 00:00:00+00:00,41422.57,133713.75,2,92291.18
2024-11-13 00:00:00+00:00,41422.57,133678.58,2,92256.01
2024-11-14 00:00:00+00:00,41422.57,133061.94,2,91639.37
2024-11-15 00:00:00+00:00,41422.57,131394.98,2,89972.41
2024-11-18 00:00:00+00:00,41422.57,131888.18,2,90465.61
2024-11-19 00:00:00+00:00,41422.57,132360.75,2,90938.18
2024-11-20 00:00:00+00:00,41422.57,132351.03,2,90928.46
2024-11-21 00:00:00+00:00,41422.57,132760.74,2,91338.17
2024-11-22 00:00:00+00:00,41422.57,132977.38,2,91554.81
2024-11-25 00:00:00+00:00,41422.57,133207.36,2,91784.79
2024-11-26 00:00:00+00:00,41422.57,133693.2,2,92270.63
2024-11-27 00:00:00+00:00,41422.57,133196.54,2,91773.97
2024-11-29 00:00:00+00:00,41422.57,133881.14,2,92458.57
2024-12-02 00:00:00+00:00,41422.57,134454.86,2,93032.29
2024-12-03 00:00:00+00:00,41422.57,134616.02,2,93193.45
2024-12-04 00:00:00+00:00,41422.57,135474.59,2,94052.02
2024-12-05 00:00:00+00:00,89403.71,135322.99,1,45919.28
2024-12-06 00:00:00+00:00,89403.71,135733.95,1,46330.24
2024-12-09 00:00:00+00:00,89403.71,135373.15,1,45969.44
2024-12-10 00:00:00+00:00,89403.71,135216.51,1,45812.8
2024-12-11 00:00:00+00:00,89403.71,136036.67,1,46632.96
2024-12-12 00:00:00+00:00,89403.71,135735.71,1,46332.0
2024-12-13 00:00:00+00:00,89403.71,136090.35,1,46686.64
2024-12-16 00:00:00+00:00,89403.71,136762.67,1,47358.96
2024-12-17 00:00:00+00:00,136579.79,136579.79,0,0.0
2024-12-18 00:00:00+00:00,136579.79,136579.79,0,0.0
2024-12-19 00:00:00+00:00,136579.79,136579.79,0,0.0
2024-12-20 00:00:00+00:00,136579.79,136579.79,0,0.0
2024-12-23 00:00:00+00:00,136579.79,136579.79,0,0.0
2024-12-24 00:00:00+00:00,136579.79,136579.79,0,0.0
2024-12-26 00:00:00+00:00,136579.79,136579.79,0,0.0
2024-12-27 00:00:00+00:00,136579.79,136579.79,0,0.0
2024-12-30 00:00:00+00:00,136579.79,136579.79,0,0.0
2024-12-31 00:00:00+00:00,136579.79,136579.79,0,0.0
2025-01-02 00:00:00+00:00,136579.79,136579.79,0,0.0
2025-01-03 00:00:00+00:00,136579.79,136579.79,0,0.0
2025-01-06 00:00:00+00:00,136579.79,136579.79,0,0.0
2025-01-07 00:00:00+00:00,136579.79,136579.79,0,0.0
2025-01-08 00:00:00+00:00,136579.79,136579.79,0,0.0
2025-01-10 00:00:00+00:00,136579.79,136579.79,0,0.0
2025-01-13 00:00:00+00:00,136579.79,136579.79,0,0.0
2025-01-14 00:00:00+00:00,91250.39,136273.43,1,45023.04
2025-01-15 00:00:00+00:00,91250.39,137159.3,1,45908.91
2025-01-16 00:00:00+00:00,91250.39,135304.57,1,44054.18
2025-01-17 00:00:00+00:00,91250.39,135636.53,1,44386.14
2025-01-21 00:00:00+00:00,91250.39,134219.91,1,42969.52
2025-01-22 00:00:00+00:00,91250.39,134449.58,1,43199.19
2025-01-23 00:00:00+00:00,91250.39,134416.77,1,43166.38
2025-01-24 00:00:00+00:00,91250.39,134246.93,1,42996.54
2025-01-27 00:00:00+00:00,91250.39,135613.37,1,44362.98
2025-01-28 00:00:00+00:00,91250.39,137234.57,1,45984.18
2025-01-29 00:00:00+00:00,91250.39,137446.87,1,46196.48
2025-01-30 00:00:00+00:00,91250.39,137105.26,1,45854.87
2025-01-31 00:00:00+00:00,91250.39,136798.39,1,45548.0
2025-02-03 00:00:00+00:00,91250.39,135256.32,1,44005.93
2025-02-04 00:00:00+00:00,91250.39,136180.79,1,44930.4
2025-02-05 00:00:00+00:00,91250.39,136117.1,1,44866.71
2025-02-06 00:00:00+00:00,91250.39,136261.85,1,45011.46
2025-02-07 00:00:00+00:00,91250.39,135182.98,1,43932.59
2025-02-10 00:00:00+00:00,91250.39,135186.84,1,43936.45
2025-02-11 00:00:00+00:00,91250.39,136146.05,1,44895.66
2025-02-12 00:00:00+00:00,91250.39,136966.3,1,45715.91
2025-02-13 00:00:00+00:00,91250.39,137865.68,1,46615.29
2025-02-14 00:00:00+00:00,91250.39,138458.19,1,47207.8
2025-02-18 00:00:00+00:00,91250.39,138433.1,1,47182.71
2025-02-19 00:00:00+00:00,91250.39,138510.3,1,47259.91
2025-02-20 00:00:00+00:00,91250.39,138695.58,1,47445.19
2025-02-21 00:00:00+00:00,91250.39,138641.54,1,47391.15
2025-02-24 00:00:00+00:00,91250.39,138940.69,1,47690.3
2025-02-25 00:00:00+00:00,91250.39,138929.11,1,47678.72
2025-02-26 00:00:00+00:00,91250.39,137639.87,1,46389.48
2025-02-27 00:00:00+00:00,91250.39,137049.29,1,45798.9
2025-02-28 00:00:00+00:00,605.14,139275.59,3,138670.45
2025-03-03 00:00:00+00:00,605.14,136726.77,3,136121.63
2025-03-04 00:00:00+00:00,605.14,135652.9,3,135047.76
2025-03-05 00:00:00+00:00,605.14,136681.49,3,136076.35
2025-03-06 00:00:00+00:00,605.14,134548.7,3,133943.56
2025-03-07 00:00:00+00:00,605.14,135844.38,3,135239.24
2025-03-10 00:00:00+00:00,605.14,130691.87,3,130086.73
2025-03-11 00:00:00+00:00,605.14,128948.7,3,128343.56
2025-03-12 00:00:00+00:00,605.14,128914.99,3,128309.85
2025-03-13 00:00:00+00:00,605.14,126151.66,3,125546.52
2025-03-14 00:00:00+00:00,605.14,128794.14,3,128189.0
2025-03-17 00:00:00+00:00,605.14,129509.76,3,128904.62
2025-03-18 00:00:00+00:00,605.14,128035.99,3,127430.85
2025-03-19 00:00:00+00:00,605.14,129576.46,3,128971.32
2025-03-20 00:00:00+00:00,605.14,129081.83,3,128476.69
2025-03-21 00:00:00+00:00,605.14,129914.15,3,129309.01
2025-03-24 00:00:00+00:00,605.14,132060.25,3,131455.11
2025-03-25 00:00:00+00:00,605.14,133004.17,3,132399.03
2025-03-26 00:00:00+00:00,605.14,131220.44,3,130615.3
2025-03-27 00:00:00+00:00,605.14,131300.77,3,130695.63
2025-03-28 00:00:00+00:00,605.14,128119.2,3,127514.06
2025-03-31 00:00:00+00:00,605.14,129220.98,3,128615.84
2025-04-01 00:00:00+00:00,605.14,129891.2,3,129286.06
2025-04-02 00:00:00+00:00,605.14,130613.6,3,130008.46
2025-04-03 00:00:00+00:00,605.14,122156.77,3,121551.63
2025-04-04 00:00:00+00:00,605.14,114332.01,3,113726.87
2025-04-07 00:00:00+00:00,605.14,113019.97,3,112414.83
2025-04-08 00:00:00+00:00,605.14,109972.62,3,109367.48
2025-04-09 00:00:00+00:00,605.14,123632.93,3,123027.79
2025-04-10 00:00:00+00:00,605.14,118351.24,3,117746.1
2025-04-11 00:00:00+00:00,605.14,121311.87,3,120706.73
2025-04-14 00:00:00+00:00,605.14,122834.42,3,122229.28
2025-04-15 00:00:00+00:00,605.14,122691.22,3,122086.08
2025-04-16 00:00:00+00:00,605.14,118995.45,3,118390.31
2025-04-17 00:00:00+00:00,605.14,119568.95,3,118963.81
2025-04-21 00:00:00+00:00,605.14,116866.79,3,116261.65
2025-04-22 00:00:00+00:00,605.14,120200.89,3,119595.75
2025-04-23 00:00:00+00:00,605.14,122685.24,3,122080.1
2025-04-24 00:00:00+00:00,605.14,125444.53,3,124839.39
2025-04-25 00:00:00+00:00,605.14,126398.42,3,125793.28
2025-04-28 00:00:00+00:00,605.14,126566.92,3,125961.78
2025-04-29 00:00:00+00:00,605.14,127324.54,3,126719.4
2025-04-30 00:00:00+00:00,605.14,127584.99,3,126979.85
2025-05-01 00:00:00+00:00,605.14,128610.97,3,128005.83
2025-05-02 00:00:00+00:00,605.14,128361.74,3,127756.6
2025-05-05 00:00:00+00:00,605.14,126600.81,3,125995.67
2025-05-06 00:00:00+00:00,605.14,125753.48,3,125148.34
2025-05-07 00:00:00+00:00,605.14,125670.24,3,125065.1
2025-05-08 00:00:00+00:00,605.14,126664.72,3,126059.58
2025-05-09 00:00:00+00:00,605.14,126780.88,3,126175.74
2025-05-12 00:00:00+00:00,605.14,132392.19,3,131787.05
2025-05-13 00:00:00+00:00,605.14,133806.0,3,133200.86
2025-05-14 00:00:00+00:00,605.14,134029.14,3,133424.0
2025-05-15 00:00:00+00:00,47584.96,133860.23,2,86275.27
2025-05-16 00:00:00+00:00,47584.96,134111.54,2,86526.58
2025-05-19 00:00:00+00:00,47584.96,133682.95,2,86097.99
2025-05-20 00:00:00+00:00,47584.96,133158.39,2,85573.43
2025-05-21 00:00:00+00:00,47584.96,131468.55,2,83883.59
2025-05-22 00:00:00+00:00,47584.96,131345.37,2,83760.41
2025-05-23 00:00:00+00:00,47584.96,129863.54,2,82278.58
2025-05-27 00:00:00+00:00,47584.96,131744.04,2,84159.08
2025-05-28 00:00:00+00:00,47584.96,131521.23,2,83936.27
2025-05-29 00:00:00+00:00,47584.96,131609.16,2,84024.2
2025-05-30 00:00:00+00:00,47584.96,131732.04,2,84147.08
2025-06-02 00:00:00+00:00,47584.96,132151.73,2,84566.77
2025-06-03 00:00:00+00:00,47584.96,132715.0,2,85130.04
2025-06-04 00:00:00+00:00,47584.96,132615.83,2,85030.87
2025-06-05 00:00:00+00:00,47584.96,131971.4,2,84386.44
2025-06-06 00:00:00+00:00,47584.96,133075.3,2,85490.34
2025-06-09 00:00:00+00:00,47584.96,132640.17,2,85055.21
2025-06-10 00:00:00+00:00,47584.96,133137.43,2,85552.47
2025-06-11 00:00:00+00:00,47584.96,132254.22,2,84669.26
2025-06-12 00:00:00+00:00,47584.96,132519.31,2,84934.35
2025-06-13 00:00:00+00:00,47584.96,131468.81,2,83883.85
2025-06-16 00:00:00+00:00,47584.96,132286.38,2,84701.42
2025-06-17 00:00:00+00:00,47584.96,131353.29,2,83768.33
2025-06-18 00:00:00+00:00,47584.96,131527.78,2,83942.82
2025-06-20 00:00:00+00:00,47584.96,132137.52,2,84552.56
2025-06-23 00:00:00+00:00,47584.96,132686.01,2,85101.05
2025-06-24 00:00:00+00:00,47584.96,132964.92,2,85379.96
2025-06-25 00:00:00+00:00,47584.96,133234.28,2,85649.32
2025-06-26 00:00:00+00:00,47584.96,133491.95,2,85906.99
2025-06-27 00:00:00+00:00,47584.96,133741.47,2,86156.51
2025-06-30 00:00:00+00:00,47584.96,134757.22,2,87172.26
2025-07-01 00:00:00+00:00,95020.95,135130.21,1,40109.26
2025-07-02 00:00:00+00:00,95020.95,136021.87,1,41000.92
2025-07-03 00:00:00+00:00,95020.95,136236.1,1,41215.15
2025-07-07 00:00:00+00:00,95020.95,135541.3,1,40520.35
2025-07-08 00:00:00+00:00,95020.95,135552.88,1,40531.93
2025-07-09 00:00:00+00:00,95020.95,135770.97,1,40750.02
2025-07-10 00:00:00+00:00,95020.95,136016.08,1,40995.13
2025-07-11 00:00:00+00:00,95020.95,135774.83,1,40753.88
2025-07-14 00:00:00+00:00,95020.95,135284.61,1,40263.66
2025-07-15 00:00:00+00:00,95020.95,135379.18,1,40358.23
2025-07-16 00:00:00+00:00,95020.95,135581.83,1,40560.88
2025-07-17 00:00:00+00:00,95020.95,135554.81,1,40533.86
2025-07-18 00:00:00+00:00,95020.95,135778.69,1,40757.74
2025-07-21 00:00:00+00:00,95020.95,136029.59,1,41008.64
2025-07-22 00:00:00+00:00,95020.95,136400.15,1,41379.2
2025-07-23 00:00:00+00:00,95020.95,136351.9,1,41330.95
2025-07-24 00:00:00+00:00,95020.95,136276.63,1,41255.68
2025-07-25 00:00:00+00:00,95020.95,136299.79,1,41278.84
2025-07-28 00:00:00+00:00,95020.95,136332.6,1,41311.65
2025-07-29 00:00:00+00:00,95020.95,135796.06,1,40775.11
2025-07-30 00:00:00+00:00,95020.95,135367.6,1,40346.65
2025-07-31 00:00:00+00:00,95020.95,135081.96,1,40061.01
2025-08-01 00:00:00+00:00,95020.95,134080.29,1,39059.34
2025-08-04 00:00:00+00:00,95020.95,134267.5,1,39246.55
2025-08-05 00:00:00+00:00,95020.95,134184.51,1,39163.56
2025-08-06 00:00:00+00:00,95020.95,136178.2,1,41157.25
2025-08-07 00:00:00+00:00,95020.95,137486.74,1,42465.79
2025-08-08 00:00:00+00:00,95020.95,139285.5,1,44264.55
2025-08-11 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-12 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-13 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-14 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-15 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-18 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-19 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-20 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-21 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-22 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-25 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-26 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-27 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-28 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-29 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-09-02 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-09-03 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-09-04 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-09-05 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-09-08 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-09-09 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-09-10 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-09-11 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-09-12 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-09-15 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-09-16 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-09-17 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-09-18 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-09-19 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-09-22 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-09-23 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-09-24 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-09-25 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-09-26 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-09-29 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-09-30 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-10-01 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-10-02 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-10-03 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-10-06 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-10-07 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-10-08 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-10-09 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-10-10 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-10-13 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-10-14 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-10-15 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-10-16 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-10-17 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-10-20 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-10-21 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-10-22 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-10-23 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-10-24 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-10-27 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-10-28 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-10-29 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-10-30 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-10-31 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-11-03 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-11-04 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-11-05 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-11-06 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-11-07 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-11-10 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-11-11 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-11-12 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-11-13 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-11-14 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-11-17 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-11-18 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-11-19 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-11-20 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-11-21 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-11-24 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-11-25 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-11-26 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-11-28 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-12-01 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-12-02 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-12-03 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-12-04 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-12-05 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-12-08 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-12-09 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-12-10 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-12-11 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-12-12 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-12-15 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-12-16 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-12-17 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-12-18 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-12-19 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-12-22 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-12-23 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-12-24 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-12-26 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-12-29 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-12-30 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-12-31 00:00:00+00:00,138987.51,138987.51,0,0.0
